#   Some data used for a study of mRNA localization to mitochondria
Gene	avgTranslationInitTimeSecs	avgNumRibosomes	givenMitoLocProb
YGR169C	71.02	1.83	0.0107
YGR171C	46.59	2.54	0.7887
YGR174C	14.71	1.82	0.0198
YGR178C	31.16	11.52	0.0462
YGR181W	3.1	3.31	0.0597
YGR193C	12.27	12.64	0.0010
YGR207C	17.06	3.07	0.0021
YGR215W	7.95	1.46	0.0466
YGR220C	26.07	1.92	0.4137
YGR222W	95.09	0.58	0.0004
YGR231C	21.42	3.36	0.5244
YGR255C	79.93	2.9	0.7248
YGR286C	51.94	1.74	0.5853
YHL004W	19.09	7.15	0.1451
YHL038C	115.53	3.73	0.8022
YHR002W	183.23	0.78	0.0314
YHR008C	4.99	8.46	0.0002
YHR011W	37.86	4.69	0.7854
YHR017W	148.65	0.96	0.6675
YHR024C	46.34	3.8	0.0737
YHR037W	14.17	18.69	0.0494
YHR038W	9.69	4.87	0.0011
YHR042W	13.87	23.54	0.0022
YHR051W	9.13	1.79	0.0038
YHR059W	9.5	1.78	0.0010
YHR067W	155.68	0.44	0.0003
YHR076W	35.08	2.28	0.7361
YHR083W	32.8	3.06	0.0082
YHR086W	25.79	9.64	0.0049
YHR091C	429.86	1.57	0.8311
YHR106W	82.66	0.96	0.7158
YHR117W	29.09	11.34	0.8046
YHR120W	631.56	2.6	0.8311
YHR147C	32.25	1.17	0.5196
YHR155W	91.12	8.78	0.0536
YHR168W	149.76	2.06	0.8033
YHR194W	124.7	1.32	0.6177
YHR208W	8.66	11.51	0.0434
YIL022W	19.77	8.61	0.7752
YIL051C	2.94	9.61	0.0099
YIL065C	20.84	1.15	0.0515
YIL070C	12.84	4.05	0.3181
YIL093C	40.62	1.7	0.0717
YIL094C	24.96	2.88	0.1797
YIL098C	15.34	1.1	0.0099
YIL114C	70.88	0.95	0.0934
YIL125W	9.11	77.5	0.0093
YIL136W	147.28	1.52	0.8337
YIL139C	164.09	0.26	0.0000
YIL155C	35.43	8.99	0.7101
YIL157C	19.63	1.54	0.0099
YIR021W	237.44	0.84	0.6514
YJL003W	8.3	2.03	0.0014
YJL023C	86.33	0.94	0.2932
YJL054W	44.24	3.96	0.8191
YJL060W	9.23	16.9	0.6143
